,equity
2022-11-11 00:00:00-05:00,100000.0
2022-11-14 00:00:00-05:00,95963.55572500004
2022-11-15 00:00:00-05:00,96461.40572500002
2022-11-16 00:00:00-05:00,95969.85572500003
2022-11-17 00:00:00-05:00,96416.20572500007
2022-11-18 00:00:00-05:00,99158.65572500005
2022-11-21 00:00:00-05:00,99969.30572500004
2022-11-22 00:00:00-05:00,101428.60572500003
2022-11-23 00:00:00-05:00,100093.90572500005
2022-11-24 00:00:00-05:00,99175.00572500005
2022-11-25 00:00:00-05:00,99386.40572500002
2022-11-28 00:00:00-05:00,98846.60572500003
2022-11-29 00:00:00-05:00,99863.00572500005
2022-11-30 00:00:00-05:00,99863.00572500005
2022-12-01 00:00:00-05:00,102085.00572500005
2022-12-02 00:00:00-05:00,102000.80572500004
2022-12-05 00:00:00-05:00,102135.85572500003
2022-12-06 00:00:00-05:00,103142.70572500007
2022-12-07 00:00:00-05:00,103142.70572500007
2022-12-08 00:00:00-05:00,99747.55572500004
2022-12-09 00:00:00-05:00,101476.10572500003
2022-12-12 00:00:00-05:00,100486.90572500008
2022-12-13 00:00:00-05:00,105181.70572500007
2022-12-14 00:00:00-05:00,107432.15572500002
2022-12-15 00:00:00-05:00,104828.50572500005
2022-12-16 00:00:00-05:00,104623.20572500007
2022-12-19 00:00:00-05:00,105772.20572500007
2022-12-20 00:00:00-05:00,104763.15572500005
2022-12-21 00:00:00-05:00,102873.30572500004
2022-12-22 00:00:00-05:00,102873.30572500004
2022-12-23 00:00:00-05:00,105575.45572500004
2022-12-26 00:00:00-05:00,110060.25572500005
2022-12-27 00:00:00-05:00,111169.40572500005
2022-12-28 00:00:00-05:00,110381.90572500005
2022-12-29 00:00:00-05:00,111967.95572500007
2022-12-30 00:00:00-05:00,111899.95572500004
2023-01-02 00:00:00-05:00,105461.35572500003
2023-01-03 00:00:00-05:00,107107.40572500002
2023-01-04 00:00:00-05:00,102143.20572500004
2023-01-05 00:00:00-05:00,107050.90572500005
2023-01-06 00:00:00-05:00,110749.60572500003
2023-01-09 00:00:00-05:00,110437.90572500002
2023-01-10 00:00:00-05:00,113290.40572500008
2023-01-11 00:00:00-05:00,114208.00572500005
2023-01-12 00:00:00-05:00,115987.50572500002
2023-01-13 00:00:00-05:00,115893.35572500003
2023-01-16 00:00:00-05:00,115555.95572500007
2023-01-17 00:00:00-05:00,116433.30572500004
2023-01-18 00:00:00-05:00,117799.65572500005
2023-01-19 00:00:00-05:00,117799.65572500005
2023-01-20 00:00:00-05:00,117337.30572500004
2023-01-23 00:00:00-05:00,116739.85572500003
2023-01-24 00:00:00-05:00,115656.15572500005
2023-01-25 00:00:00-05:00,114851.50572500005
2023-01-26 00:00:00-05:00,110597.80572500004
2023-01-27 00:00:00-05:00,110369.00572500005
2023-01-30 00:00:00-05:00,112771.65572500002
2023-01-31 00:00:00-05:00,105390.75572500002
2023-02-01 00:00:00-05:00,105139.90572500002
2023-02-02 00:00:00-05:00,111792.55572500004
2023-02-03 00:00:00-05:00,108876.00572500002
2023-02-06 00:00:00-05:00,103667.40572500005
2023-02-07 00:00:00-05:00,100208.87372500007
2023-02-08 00:00:00-05:00,104173.80572500004
2023-02-09 00:00:00-05:00,100220.10572500003
2023-02-10 00:00:00-05:00,106505.85572500003
2023-02-13 00:00:00-05:00,106886.40572500002
2023-02-14 00:00:00-05:00,110945.40572500005
2023-02-15 00:00:00-05:00,110124.90572500002
2023-02-16 00:00:00-05:00,112215.95572500004
2023-02-17 00:00:00-05:00,112691.30572500004
2023-02-20 00:00:00-05:00,113631.50572500002
2023-02-21 00:00:00-05:00,108017.80572500004
2023-02-22 00:00:00-05:00,107656.83901500003
2023-02-23 00:00:00-05:00,108874.20901500003
2023-02-24 00:00:00-05:00,108296.67901500003
2023-02-27 00:00:00-05:00,107219.42901500003
2023-02-28 00:00:00-05:00,107394.88901500002
2023-03-01 00:00:00-05:00,108886.29901500003
2023-03-02 00:00:00-05:00,108853.74901500004
2023-03-03 00:00:00-05:00,108474.61901500003
2023-03-06 00:00:00-05:00,109423.52901500004
2023-03-07 00:00:00-05:00,110797.44901500002
2023-03-08 00:00:00-05:00,110797.44901500002
2023-03-09 00:00:00-05:00,112514.84901500003
2023-03-10 00:00:00-05:00,112449.43901500003
2023-03-13 00:00:00-04:00,112631.71901500002
2023-03-14 00:00:00-04:00,113407.33901500002
2023-03-15 00:00:00-04:00,114090.26901500003
2023-03-16 00:00:00-04:00,114274.61595000006
2023-03-17 00:00:00-04:00,116255.85595000006
2023-03-20 00:00:00-04:00,114147.78594999999
2023-03-21 00:00:00-04:00,117652.16595000005
2023-03-22 00:00:00-04:00,118270.27595000004
2023-03-23 00:00:00-04:00,116337.56595000002
2023-03-24 00:00:00-04:00,114344.46595000004
2023-03-27 00:00:00-04:00,116785.32595000003
2023-03-28 00:00:00-04:00,113890.94595000002
2023-03-29 00:00:00-04:00,117058.01595000003
2023-03-30 00:00:00-04:00,118232.66595000005
2023-03-31 00:00:00-04:00,117608.09595000005
2023-04-03 00:00:00-04:00,117106.31595000002
2023-04-04 00:00:00-04:00,118471.89595000003
2023-04-05 00:00:00-04:00,116667.3959500001
2023-04-06 00:00:00-04:00,116239.89595000003
2023-04-07 00:00:00-04:00,112958.97595000005
2023-04-10 00:00:00-04:00,112555.52595000004
2023-04-11 00:00:00-04:00,114644.76595000003
2023-04-12 00:00:00-04:00,116729.59595000005
2023-04-13 00:00:00-04:00,111961.49595000007
2023-04-14 00:00:00-04:00,110553.42595
2023-04-17 00:00:00-04:00,106397.26789000002
2023-04-18 00:00:00-04:00,107361.41789000001
2023-04-19 00:00:00-04:00,109210.16789000001
2023-04-20 00:00:00-04:00,108771.26789000003
2023-04-21 00:00:00-04:00,108016.61789000002
2023-04-24 00:00:00-04:00,107925.16789000001
2023-04-25 00:00:00-04:00,109416.76789000002
2023-04-26 00:00:00-04:00,109114.26789000002
2023-04-27 00:00:00-04:00,110469.56789000002
2023-04-28 00:00:00-04:00,110440.06789000003
2023-05-01 00:00:00-04:00,110705.06789000003
2023-05-02 00:00:00-04:00,110528.11789000002
2023-05-03 00:00:00-04:00,110812.06789000003
2023-05-04 00:00:00-04:00,110812.06789000003
2023-05-05 00:00:00-04:00,110577.61789000002
2023-02-08 00:00:00-05:00,102502.71789000003
2023-02-09 00:00:00-05:00,100143.91936000003
2023-02-10 00:00:00-05:00,103866.81936000002
2023-02-13 00:00:00-05:00,104261.48936000004
2023-02-14 00:00:00-05:00,106716.03936000002
2023-02-15 00:00:00-05:00,106516.73697000003
2023-02-16 00:00:00-05:00,107883.46437000003
2023-02-17 00:00:00-05:00,108001.65060500002
2023-02-20 00:00:00-05:00,108764.28060500002
2023-02-21 00:00:00-05:00,104181.90060500005
2023-02-22 00:00:00-05:00,103904.34687000004
2023-02-23 00:00:00-05:00,105752.28687000007
2023-02-24 00:00:00-05:00,104431.16226000004
2023-02-27 00:00:00-05:00,103061.74143000004
2023-02-28 00:00:00-05:00,103484.67143000003
2023-03-01 00:00:00-05:00,105966.06143000005
2023-03-02 00:00:00-05:00,105910.47143000005
2023-03-03 00:00:00-05:00,105328.12143000001
2023-03-06 00:00:00-05:00,106685.80143
2023-03-07 00:00:00-05:00,108991.48183500003
2023-03-08 00:00:00-05:00,108991.48183500003
2023-03-09 00:00:00-05:00,112474.47183500005
2023-03-10 00:00:00-05:00,112341.76183500006
2023-03-13 00:00:00-04:00,112711.07183500002
2023-03-14 00:00:00-04:00,114282.34183500001
2023-03-15 00:00:00-04:00,115669.14183500006
2023-03-16 00:00:00-04:00,115569.37183500004
2023-03-17 00:00:00-04:00,117108.12183500004
2023-03-20 00:00:00-04:00,115471.22183500002
2023-03-21 00:00:00-04:00,118185.78183500005
2023-03-22 00:00:00-04:00,118662.65183500001
2023-03-23 00:00:00-04:00,117164.31183500004
2023-03-24 00:00:00-04:00,115622.08183500006
2023-03-27 00:00:00-04:00,117510.22183500002
2023-03-28 00:00:00-04:00,115268.65183500001
2023-03-29 00:00:00-04:00,117720.42183500003
2023-03-30 00:00:00-04:00,118632.26183500006
2023-03-31 00:00:00-04:00,118146.25183500005
2023-04-03 00:00:00-04:00,117755.94183500005
2023-04-04 00:00:00-04:00,118810.78183500007
2023-04-05 00:00:00-04:00,117414.51183500006
2023-04-06 00:00:00-04:00,117078.81183500004
2023-04-07 00:00:00-04:00,114532.42183500003
2023-04-10 00:00:00-04:00,114217.88183500002
2023-04-11 00:00:00-04:00,115562.59173500002
2023-04-12 00:00:00-04:00,116853.29953500003
2023-04-13 00:00:00-04:00,113027.43953500001
2023-04-14 00:00:00-04:00,111303.93213500001
2023-04-17 00:00:00-04:00,107292.49213500004
2023-04-18 00:00:00-04:00,108758.38796000004
2023-04-19 00:00:00-04:00,111536.25690500002
2023-04-20 00:00:00-04:00,110842.59690500004
2023-04-21 00:00:00-04:00,109516.77690500004
2023-04-24 00:00:00-04:00,109286.45690500003
2023-04-25 00:00:00-04:00,111697.46690500004
2023-04-26 00:00:00-04:00,110881.01314500003
2023-04-27 00:00:00-04:00,113330.26066000003
2023-04-28 00:00:00-04:00,113060.24942500005
2023-05-01 00:00:00-04:00,113610.55942500004
2023-05-02 00:00:00-04:00,113242.91942500003
2023-05-03 00:00:00-04:00,113832.50942500005
2023-05-04 00:00:00-04:00,113832.50942500005
2023-05-05 00:00:00-04:00,113345.60942500003
2023-05-08 00:00:00-04:00,113734.18942500005
2023-05-09 00:00:00-04:00,112228.40942500002
2023-05-10 00:00:00-04:00,114930.49942500005
2023-05-11 00:00:00-04:00,115207.67942500004
2023-05-12 00:00:00-04:00,115269.15942500002
2023-05-15 00:00:00-04:00,115138.04942500003
2023-05-16 00:00:00-04:00,116751.32942500006
2023-05-17 00:00:00-04:00,117212.20942500004
2023-05-18 00:00:00-04:00,118501.69942500003
2023-05-19 00:00:00-04:00,117582.97942500003
2023-05-22 00:00:00-04:00,116590.34942500002
2023-05-23 00:00:00-04:00,117949.74942500005
2023-05-24 00:00:00-04:00,115321.67942500004
2023-05-25 00:00:00-04:00,117034.26502500004
2023-05-26 00:00:00-04:00,118642.04295000006
2023-05-29 00:00:00-04:00,118562.14295000004
2023-05-30 00:00:00-04:00,119914.44295000006
2023-05-31 00:00:00-04:00,120174.62295000005
2023-06-01 00:00:00-04:00,121770.16295000006
2023-06-02 00:00:00-04:00,122243.04295000006
2023-06-05 00:00:00-04:00,122157.76295000003
2023-06-06 00:00:00-04:00,122828.52295000004
2023-06-07 00:00:00-04:00,125007.62295000005
2023-06-08 00:00:00-04:00,125007.62295000005
2023-06-09 00:00:00-04:00,125298.16295000006
2023-06-12 00:00:00-04:00,125946.80295000001
2023-06-13 00:00:00-04:00,124310.28295000005
2023-06-14 00:00:00-04:00,126245.96295000004
2023-06-15 00:00:00-04:00,127111.82295000003
2023-06-16 00:00:00-04:00,126718.46295000004
2023-06-19 00:00:00-04:00,127099.36295000004
2023-06-20 00:00:00-04:00,125884.90295000005
2023-06-21 00:00:00-04:00,124044.42295000007
2023-06-22 00:00:00-04:00,121419.28295000005
2023-06-23 00:00:00-04:00,124353.68295000005
2023-06-26 00:00:00-04:00,126166.98295000006
2023-06-27 00:00:00-04:00,127176.80295000001
