bar_index,timestamp,symbol,old_allocation,new_allocation,shares_delta,fill_price,slippage_cost,regime,regime_probability,strategy
505,2022-11-14 00:00:00-05:00,SPY,0.0,1.1875,320,371.06543999999997,59.3408,STRONG_BEAR,0.9999998386300795,LowVolBullStrategy
505,2022-11-14 00:00:00-05:00,QQQ,0.0,1.1875,385,308.22403499999996,59.303475,STRONG_BEAR,0.9999998386300795,LowVolBullStrategy
577,2023-02-22 00:00:00-05:00,SPY,1.1875,0.45,-196,390.07493999999997,38.208239999999996,WEAK_BEAR,0.9999999861702235,HighVolDefensiveStrategy
577,2023-02-22 00:00:00-05:00,QQQ,1.1875,0.45,-230,312.025935,35.865050000000004,WEAK_BEAR,0.9999999861702235,HighVolDefensiveStrategy
593,2023-03-16 00:00:00-04:00,SPY,0.45,1.1875,205,411.055425,42.112125,STRONG_BEAR,1.0,LowVolBullStrategy
593,2023-03-16 00:00:00-04:00,QQQ,0.45,1.1875,247,336.20802,41.50094,STRONG_BEAR,1.0,LowVolBullStrategy
615,2023-04-17 00:00:00-04:00,SPY,1.1875,0.45,-209,411.435615,42.973535000000005,WEAK_BEAR,0.9999999999929684,HighVolDefensiveStrategy
615,2023-04-17 00:00:00-04:00,QQQ,1.1875,0.45,-247,320.390115,39.548405,WEAK_BEAR,0.9999999999929684,HighVolDefensiveStrategy
568,2023-02-09 00:00:00-05:00,SPY,0.45,0.95,133,384.85233,25.579890000000002,NEUTRAL,1.0,MidVolCautiousStrategy
568,2023-02-09 00:00:00-05:00,QQQ,0.45,0.6,44,308.27405999999996,6.77864,NEUTRAL,1.0,MidVolCautiousStrategy
572,2023-02-15 00:00:00-05:00,QQQ,0.6,0.95,123,314.01693,19.30239,NEUTRAL,1.0,MidVolCautiousStrategy
573,2023-02-16 00:00:00-05:00,QQQ,0.95,0.6,-120,315.947895,18.947400000000002,NEUTRAL,1.0,MidVolCautiousStrategy
574,2023-02-17 00:00:00-05:00,QQQ,0.6,0.95,117,321.25054499999993,18.783765,NEUTRAL,1.0,MidVolCautiousStrategy
577,2023-02-22 00:00:00-05:00,QQQ,0.95,0.6,-119,312.025935,18.556265,NEUTRAL,1.0,MidVolCautiousStrategy
579,2023-02-24 00:00:00-05:00,QQQ,0.6,0.95,114,319.889865,18.224610000000002,NEUTRAL,0.9999999999999514,MidVolCautiousStrategy
580,2023-02-27 00:00:00-05:00,QQQ,0.95,0.6,-118,318.789315,18.79917,NEUTRAL,0.999999999999813,MidVolCautiousStrategy
586,2023-03-07 00:00:00-05:00,QQQ,0.6,0.95,117,323.23153499999995,18.899595,NEUTRAL,0.9999999999582933,MidVolCautiousStrategy
611,2023-04-11 00:00:00-04:00,QQQ,0.95,0.6,-105,328.92438,17.2599,NEUTRAL,1.0,MidVolCautiousStrategy
612,2023-04-12 00:00:00-04:00,QQQ,0.6,0.95,120,334.53718499999997,20.0622,NEUTRAL,1.0,MidVolCautiousStrategy
614,2023-04-14 00:00:00-04:00,QQQ,0.95,0.6,-116,319.85985,18.5426,NEUTRAL,1.0,MidVolCautiousStrategy
616,2023-04-18 00:00:00-04:00,SPY,0.95,0.6,-95,407.273535,19.335825,NEUTRAL,1.0,MidVolCautiousStrategy
617,2023-04-19 00:00:00-04:00,SPY,0.6,0.95,91,413.41660499999995,18.801055,NEUTRAL,1.0,MidVolCautiousStrategy
622,2023-04-26 00:00:00-04:00,QQQ,0.6,0.95,108,330.60522,17.84376,NEUTRAL,1.0,MidVolCautiousStrategy
623,2023-04-27 00:00:00-04:00,QQQ,0.95,0.6,-119,329.53468499999997,19.597515,NEUTRAL,0.9999999999999928,MidVolCautiousStrategy
624,2023-04-28 00:00:00-04:00,QQQ,0.6,0.95,121,334.237035,20.211235000000002,NEUTRAL,0.9999999999984296,MidVolCautiousStrategy
643,2023-05-25 00:00:00-04:00,SPY,0.95,0.6,-84,417.0084,17.5056,NEUTRAL,0.9999999988540327,MidVolCautiousStrategy
